日期,星期,负荷电量（MWh）,光伏电量（MWh）,正净负荷电量（MWh）,光伏富余电量（MWh）,净负荷峰值（kW）,净负荷峰值时刻,净负荷最小值（kW）,净负荷最小时刻,光伏富余时段数
2025-03-20,周四,117.6483817333333,55.439419916666665,66.11983850000001,3.910876683333333,5838.5445,17:40,-2235.3408,12:20,25
2025-06-21,周六,81.40806479999999,62.07332439999999,40.29402644999999,20.959286050000006,4004.9442,19:10,-4844.465,11:30,51
2025-09-23,周二,121.18228133333326,59.065665749999994,68.59491105,6.478295466666667,6311.176,17:40,-2874.8322,12:10,26
2025-12-21,周日,124.37644096666665,35.3386591,89.03778186666665,0.0,6338.77,17:30,408.6100000000006,12:30,0
