月份,天数,平均日负荷（MWh）,平均日光伏（MWh）,平均日正净负荷（MWh）,平均日光伏富余（MWh）,光伏直接覆盖率（%）,光伏自消纳率（%）
2025-01,31,113.41856325967741,38.14041346451612,77.28012034462365,2.001970549462366,32.62925716196377,94.85825438925215
2025-02,28,108.40551660773811,47.195528319642854,66.16878944702381,4.958801158928572,39.48837664622006,89.6136173253291
2025-03,31,104.53677588978495,55.3007221327957,58.38688465967742,9.150830902688172,44.580626774023635,83.8493334365602
2025-04,30,105.43144317722223,64.84045654388888,53.74502792277778,13.154041289444443,49.36924461752495,79.99559702416428
2025-05,31,105.64026606451613,67.35605751720429,52.28680102688172,14.002592479569891,50.79774056431536,79.16805559864783
2025-06,30,115.20894310666667,56.87583756722222,63.92378406277778,5.590678523333334,44.97699998721052,90.25483976332916
2025-07,31,128.09420774569892,65.3581026,70.50273696344085,7.766631817741935,45.231573609922144,88.15217454248479
2025-08,31,121.08424920806452,69.98383423172042,65.23686798602151,14.13645300967742,46.308476637990196,79.9575413245659
2025-09,30,108.86185038777776,62.582388146111114,59.23072338722222,12.951261145555554,45.80352834343073,79.45555219273345
2025-10,31,104.3284677919355,56.74351324247312,59.291641222043005,11.706686672580643,43.50705435363243,79.6210987426548
2025-11,30,104.10411232055554,44.50503205444444,65.06103369611111,5.461953429999999,38.029752410301384,87.88376159455127
2025-12,31,112.59134150860214,36.33208550107526,77.70817248333333,1.4489164758064514,31.66349598630462,95.9453869318603
