预测编号,预测方法,负载MAE（kW）,负载RMSE（kW）,光伏MAE（kW）,光伏RMSE（kW）,净负荷MAE（kW）,净负荷RMSE（kW）,净负荷偏差（kW）,训练耗时（秒）
seasonal_7d,前7天同一时刻季节朴素预测,176.79572117223884,244.28661499529923,214.68823137890885,419.9479682302922,327.7708114624917,486.4685254107146,-2.7640641279940223,0.0
ridge_causal,扩展窗口Ridge正则化时序预测,166.0224982560124,219.50465931045918,161.64271785500014,301.6881322432895,261.81411732209114,371.78579416678843,-22.630681385853368,0.35166210000170395
hist_gbdt_causal,滚动直方图梯度提升树预测,166.80782218422965,229.3257977338644,181.58259831306614,354.8557558630207,290.21774048045353,425.04373845850756,-12.846508407896488,31.99321780000173
