日期,0:00储电量（kWh）,24:00储电量（kWh）,计划购电量（kWh）,紧急购电量（kWh）,充电量（kWh）,放电量（kWh）,弃电量（kWh）,计划购电费（元）,紧急购电费（元）,总购电费（元）
2025-02-01,6000.0,6000.0,39926.510368115574,151.15043869988745,20278.39789026715,16425.502291116387,1846.5892743313643,20623.527143776868,372.399699396016,20995.926843172885
2025-02-02,6000.0,6000.0,89947.94146075119,0.0,22212.18226817937,17991.86763722529,7371.348879797102,56666.91124145963,0.0,56666.91124145963
2025-02-03,6000.0,6000.0,83461.03468729043,1374.3351565858393,24026.359313229397,19461.35104371582,53.445074362695436,52229.636090840504,4615.729818684426,56845.36590952493
2025-02-04,6000.0,6000.0,83956.57490637276,2644.3004089375963,24845.98409517924,20125.247117095183,685.2743872262929,52416.95387170545,9291.62787132468,61708.58174303013
2025-02-05,6000.0,6000.0,84978.38546418076,1228.1482842501975,24242.63949878999,19636.537994019898,852.0052603275227,53361.482376303466,3659.938807726885,57021.42118403035
2025-02-06,6000.0,6000.0,86847.22058773236,200.35948076800287,22531.717804627337,18250.691421748143,2495.496468954512,55114.190472236936,418.8531718852697,55533.043644122205
2025-02-07,6000.0,6000.0,36134.37880546707,1370.0714326293476,20304.270679318706,16446.459250248146,1840.9591423592028,18413.66211327395,4981.382971646943,23395.045084920894
2025-02-08,6000.0,6000.0,34493.04265047624,1705.8269552359213,19115.744208096687,15483.752808558313,989.7154895071272,17664.553679171273,5389.79139632303,23054.345075494304
2025-02-09,6000.0,6000.0,82942.68341474532,1269.6350968029433,23730.89443790522,19222.02449470323,148.03260167961668,52092.17609152908,3857.460982061474,55949.63707359055
2025-02-10,6000.0,6000.0,82925.36434789596,354.30632821118,21711.698782830168,17586.476014092437,4827.8103240360915,51712.13028669037,949.3368575207695,52661.46714421114
2025-02-11,6000.0,6000.0,84098.42939754047,103.18110924720979,22275.320401544726,18043.009525251226,4748.7024971608525,52744.50752146554,444.5428714770691,53189.050392942605
2025-02-12,6000.0,6000.0,79575.35070035892,1300.4055854072046,23529.28159312294,19058.718090429593,1138.4566497394464,49416.504224194534,4891.000615394111,54307.50483958865
2025-02-13,6000.0,6000.0,80061.15344332636,0.0,20001.429089076744,16201.157562152162,4931.402899735126,50415.710117340874,0.0,50415.710117340874
2025-02-14,6000.0,6000.0,34551.934567065735,1027.6776342682049,18900.720256308494,15309.583407609884,2186.673535968662,17791.61588994172,3171.0447233013947,20962.660613243115
2025-02-15,6000.0,6000.0,34225.70422064063,1289.8039694365914,18161.657654579383,14710.942700209298,2784.7021357071367,17735.788751240572,3646.030873224244,21381.819624464817
2025-02-16,6000.0,6000.0,78927.5421589359,1154.6470332258941,23362.145722898735,18923.338035547968,266.00240481104123,48800.845812658285,4616.879685915798,53417.72549857408
2025-02-17,6000.0,6000.0,77601.87160296539,11.515300075066762,21627.503964549127,17518.278211284796,2320.2979831094553,48027.08065199531,53.93766555161271,48081.01831754692
2025-02-18,6000.0,6000.0,79690.25297565578,0.613814477815481,21273.931015704864,17231.884122720934,3557.432113816341,49720.36859825396,2.7925489668215313,49723.16114722078
2025-02-19,6000.0,6000.0,77754.18156433574,436.71824342944,23446.997161906154,18992.067701143984,856.6429636696773,48410.00161788388,1051.9936015440378,49461.99521942792
2025-02-20,6000.0,6000.0,77001.68608511757,17.028576314241832,21968.715416559113,17794.659487412882,1851.5249989522613,47727.77493847261,79.76185145590874,47807.53678992852
2025-02-21,6000.0,6000.0,37265.721122793744,0.0,17115.437277515477,13863.504194787542,8453.526006732476,19727.357870630927,0.0,19727.357870630927
2025-02-22,6000.0,6000.0,36653.269968886845,0.0,17172.817970333563,13909.982555970186,5545.671671190143,19429.243889445966,0.0,19429.243889445966
2025-02-23,6000.0,6000.0,81074.4841025153,0.0,20719.773109843496,16783.016218973236,5605.873528311704,50467.06626870453,0.0,50467.06626870453
