方案,使用时刻,天数,初始计划购电量_MWh,最终执行购电量_MWh,向上调整量_MWh,向下调整量_MWh,紧急购电量_MWh,充电量_MWh,放电量_MWh,弃电量_MWh,计划购电费_元,调整费用净额_元,紧急购电费_元,总购电费_元,发生紧急购电天数,紧急购电十分钟时段数,供电中断次数,SOC最小值_kWh,SOC最大值_kWh,日末SOC最大误差_kWh,最大充电功率_kW,最大放电功率_kW,同时充放电时段数,执行SOC目标放宽次数,求解时间_秒,相对仅0点节省_元,相对仅0点节省_pct,本次新增时刻边际节省_元
0:00,[0],334,21035.620898717872,21035.620898717872,0.0,0.0,282.35209217179397,7024.141877068908,5689.554920425816,2044.1965392799084,13621266.938274242,0.0,922854.2388430844,14544121.17711733,170,2923,0,1200.0,10800.0,0.0,5000.0,5000.0,0,0,25.69178340007784,0.0,0.0,0.0
0:00+6:00,"[0, 6]",334,21035.620898717872,21122.921089354837,527.988114661448,440.6879240244853,156.4754034251016,7104.460177777162,5754.612743999501,1990.3595640356102,13621266.938274242,433166.066921082,492143.76264788804,14546576.767843215,213,1898,0,1200.0,10800.0,0.0,5000.0,5000.0,0,0,30.374340500035032,-2455.590725885704,-0.016883733956707905,-2455.590725885704
0:00+6:00+12:00,"[0, 6, 12]",334,21035.620898717872,21333.072211157494,819.768608312364,522.3172958727432,151.66227719605098,7105.477558338524,5755.436822254205,2195.504257302559,13621266.938274242,707285.3566725636,482874.52327723044,14811426.818224037,213,1990,0,1200.0,10800.0,0.0,5000.0,5000.0,0,0,36.69837710003776,-267305.641106708,-1.8378947607179414,-264850.0503808223
0:00+6:00+12:00+18:00,"[0, 6, 12, 18]",334,21035.620898717872,21385.978854372042,881.6520696254438,531.2941139712731,138.10375038943192,7121.329630660309,5768.27700083485,2231.8404799693512,13621266.938274242,808306.478065153,456088.3268143847,14885661.74315378,234,1871,0,1200.0,10800.0,0.0,5000.0,5000.0,0,0,40.25494240002445,-341540.5660364516,-2.348306658595549,-74234.92492974363
