policy,issues,n_all,mae_all_kw,rmse_all_kw,bias_all_kw,wape_all_pct,n_active,mae_active_kw,rmse_active_kw,bias_active_kw,wape_active_pct,p90_active_abs_error_kw,correlation_active,asymmetric_risk_proxy_yuan_per_day,days_lower_mae_than_00_only,days_equal_mae_to_00_only,days_higher_mae_than_00_only
00_only,0,8016,186.7346709830339,378.6842131115112,-28.697512200598805,7.853006747980101,3989,375.24358959639005,536.814247490266,-57.66704379543745,7.853008138828658,901.9061800000003,0.9785012131715268,8573.994488650696,0,334,0
00_06,"0,6",8016,97.5763936751497,208.75941843000214,-6.693997542415173,4.103512614666689,3989,196.0790295061419,295.9326677889458,-13.451575206818758,4.1034950556292475,510.21820000000105,0.9933886045265303,4728.723899602883,285,0,49
00_06_12,"0,6,12",8016,57.50825994261477,132.32669133561322,-0.6545723428143707,2.418472964964174,3989,115.56191276009024,187.58334842620485,-1.3146161945349701,2.4184520844705366,291.7201999999998,0.9973328570485661,2946.9792310901425,328,0,6
00_06_12_18,"0,6,12,18",8016,57.50776005489022,132.32669042983292,-0.6544006736526942,2.4184519425067297,3989,115.56191276009024,187.58334842620485,-1.3146161945349701,2.4184520844705366,291.7201999999998,0.9973328570485661,2946.9490157990945,328,0,6
