horizon_bin,n_all,mae_all_kw,rmse_all_kw,n_active,mae_active_kw,rmse_active_kw,bias_active_kw,wape_active_pct
1-6,8016,57.50776005489022,132.32669042983292,3989,115.56191276009024,187.58334842620485,-1.3146161945349701,2.4184520844705366
7-12,8010,149.62184722846442,306.2608305246717,3990,300.36475483709273,433.9315850604569,-33.74063909774436,6.287534726971003
13-18,8004,231.2561562593703,465.3026354885123,3983,464.71378639216675,659.6049363721753,-83.76174145116747,9.723240593321416
19-24,7998,329.2784251812953,689.536802095769,3980,661.6915295226131,977.4771433496268,-141.70649138190956,13.84697199679253
