combination,planned_purchase_kwh,adjusted_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,plan_cost_yuan,upward_adjustment_cost_yuan,downward_adjustment_refund_yuan,emergency_cost_yuan,total_cost_yuan,cost_change_vs_00_only_yuan,cost_change_vs_00_only_pct,marginal_cost_change_yuan
00_only,22587907.179551236,22587907.179551236,0.0,0.0,319976.80782119633,13798037.630344326,0.0,0.0,1191321.9973697306,14989359.627714057,0.0,0.0,0.0
00_06,22587907.179551236,22325058.205754925,281028.5715813018,543877.5453776148,213105.95294714626,13798037.630344326,310024.3459685191,179782.97123469767,777843.212271967,14706122.217350114,-283237.4103639424,-1.88958979835443,-283237.4103639424
00_06_12,22587907.179551236,22130012.28253297,203972.96252133837,661867.8595396049,208361.6375200128,13798037.630344326,227333.85387735182,214164.4881236258,765218.2560693781,14576425.25216743,-412934.37554662675,-2.7548500122923603,-129696.96518268436
00_06_12_18,22587907.179551236,22127295.887150984,202399.85311908025,663011.1455193333,206775.74561782135,13798037.630344326,224847.47897552533,214770.46350590163,757722.3503003459,14565836.996114295,-423522.63159976155,-2.825488493962771,-10588.256053134799
