month,baseline_mae_active_kw,full_revision_mae_active_kw,mae_change_pct,baseline_rmse_active_kw,full_revision_rmse_active_kw,baseline_wape_active_pct,full_revision_wape_active_pct
2,350.6217262987013,108.25888051948053,-69.12373866208942,481.2041903211686,170.6511144873952,8.158601405820777,2.519071091579669
3,408.82337660167127,115.97062674094708,-71.63307350353875,577.5466569631604,180.30808473690226,8.565065071117736,2.4296457130980453
4,369.96782692307687,111.4650379487179,-69.87169428332655,518.9803472486996,179.10151860400242,7.4088625365302825,2.232164755133931
5,340.6638861042183,120.89710148883373,-64.51132438152014,473.29498744850923,189.78450791025526,6.568141401996012,2.33094639631744
6,353.19820639386194,108.88204859335036,-69.17253637694505,493.96781549267894,165.99480395433855,8.111314896149151,2.500512648961818
7,379.8979039702233,116.08254143920595,-69.44375311733634,534.2157251572368,183.26548859099717,7.567654598984834,2.3123912224930567
8,430.2912518610421,114.62476923076925,-73.36112023309596,652.2129594315174,177.8150889283958,7.99805884666312,2.1305932798488203
9,399.8250516304348,130.5192980978261,-67.35589789444526,567.4546651353666,213.11229382028282,7.846419025823595,2.5613930384195283
10,485.20906539589447,135.46317008797655,-72.08148409645877,679.9318694472017,236.86267848663593,9.392397305267853,2.6222179353949824
11,293.21558666666664,106.73957787878784,-63.59689500403963,407.16200585478725,189.28062287999316,7.253266222673597,2.6404141186763983
12,295.40209556313994,98.32884812286689,-66.71355768975924,414.8476506420994,165.0071996090824,7.7188975913173925,2.569346393720428
