end_time,hour,mean_load_kw,mean_pv_kw,mean_net_load_kw,price_yuan_per_kwh
00:10,0.16666666666666666,3449.160176646707,0.0,3449.160176646707,0.4248
00:20,0.3333333333333333,3444.099485329341,0.0,3444.099485329341,0.4245
00:30,0.5,3447.993263473054,0.0,3447.993263473054,0.4269
00:40,0.6666666666666666,3459.9092206586824,0.0,3459.9092206586824,0.4272
00:50,0.8333333333333334,3463.7817877245507,0.0,3463.7817877245507,0.4271
01:00,1.0,3458.9917964071856,0.0,3458.9917964071856,0.4285
01:10,1.1666666666666667,3459.082694011976,0.0,3459.082694011976,0.4311
01:20,1.3333333333333333,3458.2600877245504,0.0,3458.2600877245504,0.4302
01:30,1.5,3460.124131736527,0.0,3460.124131736527,0.4279
01:40,1.6666666666666667,3475.3406928143713,0.0,3475.3406928143713,0.4312
01:50,1.8333333333333333,3485.9928991017964,0.0,3485.9928991017964,0.4333
02:00,2.0,3487.613113772455,0.0,3487.613113772455,0.4311
02:10,2.1666666666666665,3492.633510179641,0.0,3492.633510179641,0.4293
02:20,2.3333333333333335,3498.209605688623,0.0,3498.209605688623,0.4324
02:30,2.5,3500.6029940119756,0.0,3500.6029940119756,0.4367
02:40,2.6666666666666665,3499.6606131736526,0.0,3499.6606131736526,0.4348
02:50,2.8333333333333335,3497.0608125748504,0.0,3497.0608125748504,0.4335
03:00,3.0,3497.257994011976,0.0,3497.257994011976,0.4357
03:10,3.1666666666666665,3504.3874619760477,0.00019161676646706587,3504.387270359281,0.4374
03:20,3.3333333333333335,3512.124912275449,4.341317365269461e-05,3512.1248688622754,0.4371
03:30,3.5,3516.69251497006,0.0,3516.69251497006,0.4356
03:40,3.6666666666666665,3519.7411299401197,0.003340718562874251,3519.737789221557,0.4353
03:50,3.8333333333333335,3523.7164356287426,0.0012862275449101795,3523.715149401198,0.436
04:00,4.0,3527.3151796407187,0.0,3527.3151796407187,0.4378
04:10,4.166666666666667,3526.9093805389225,0.046999101796407185,3526.8623814371263,0.4401
04:20,4.333333333333333,3525.311905688623,0.018364670658682636,3525.2935410179643,0.4389
04:30,4.5,3531.0204790419166,0.0,3531.0204790419166,0.4364
04:40,4.666666666666667,3548.67437005988,0.6549850299401198,3548.0193850299397,0.4393
04:50,4.833333333333333,3552.5327482035927,0.2562559880239521,3552.276492215569,0.4422
05:00,5.0,3536.092155688623,0.3152694610778443,3535.7768862275448,0.4395
05:10,5.166666666666667,3523.648140419162,20.411647305389224,3503.2364931137727,0.4333
05:20,5.333333333333333,3550.15700988024,59.52477455089821,3490.6322353293417,0.4439
05:30,5.5,3538.544700598802,119.08596556886228,3419.45873502994,0.4301
05:40,5.666666666666667,3445.6984943113775,201.2523026946108,3244.4461916167666,0.3713
05:50,5.833333333333333,3784.6194811377245,302.7644571856287,3481.855023952096,0.5708
06:00,6.0,4359.280898203593,424.6123877245509,3934.668510479042,0.9099
06:10,6.166666666666667,4413.700094610778,569.6528290419162,3844.047265568862,0.9368
06:20,6.333333333333333,4330.216653293413,735.0893826347306,3595.127270658683,0.8758
06:30,6.5,4350.379850299401,922.5824101796408,3427.7974401197607,0.8759
06:40,6.666666666666667,4339.863036826347,1136.0352023952096,3203.827834431137,0.8601
06:50,6.833333333333333,4391.8630185628745,1374.1298443113774,3017.733174251497,0.8442
07:00,7.0,4484.039970059881,1636.9087949101795,2847.1311751497014,0.8334
07:10,7.166666666666667,4481.806088922156,1925.3435047904193,2556.4625841317365,0.8092
07:20,7.333333333333333,4499.83665748503,2222.2435035928142,2277.5931538922155,0.7972
07:30,7.5,4477.676886227545,2520.788847305389,1956.8880389221558,0.7644
07:40,7.666666666666667,4341.91077994012,2824.5786976047907,1517.3320823353292,0.6899
07:50,7.833333333333333,4868.000047305389,3129.331613772455,1738.6684335329337,0.86
08:00,8.0,5752.928023952096,3433.21246257485,2319.7155613772456,1.1617
08:10,8.166666666666666,5840.449403592814,3737.1011988023956,2103.348204790418,1.1683
08:20,8.333333333333334,5706.233170059881,4034.8848862275445,1671.3482838323362,1.0956
08:30,8.5,5725.102964071856,4326.830838323353,1398.2721257485027,1.0849
08:40,8.666666666666666,5706.071458682634,4617.745588323353,1088.325870359281,1.061
08:50,8.833333333333334,5776.496773652695,4898.395581137725,878.1011925149705,1.043
09:00,9.0,5910.296556886227,5167.71500748503,742.5815494011977,1.036
