date,planned_purchase_kwh,adjusted_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,plan_cost_yuan,upward_adjustment_cost_yuan,downward_adjustment_refund_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,load_scale_06,load_scale_12,load_scale_18
2025-02-01,48992.5379270679,44572.51039050896,0.0,4420.027536558933,358.8186412454411,25818.581693569555,0.0,1262.7914617891695,1733.0652758127376,26288.85550759312,19725.335445619858,15977.521710952089,6000.000000000001,6000.0,0.9299671403599726,0.9390176220740402,0.9431585242230139
2025-02-02,94043.86330492455,89471.76594315642,0.0,4572.097361768117,197.30475690010962,59495.04340584177,0.0,1625.9081812233755,696.3316075558998,58565.46683217429,24057.40594911172,19489.672129493898,6000.0,5996.474099207328,0.9518757773107113,0.9553131254825691,0.9611124804343317
2025-02-03,95903.68451666666,90327.76708592413,0.0,5575.9174307425355,344.6403360239465,60645.37973051083,0.0,1992.888032149771,1475.6286941066837,60128.12039246775,24295.33235218971,19676.04589456026,5996.474099207328,6000.000000000002,0.9623408036647649,0.9747140701908542,0.9762790383123634
2025-02-04,98780.3362511111,91937.391032046,0.0,6842.9452190651145,485.9054334834826,63091.13262175711,0.0,2642.0415111507423,1782.4290891266928,62231.520199733066,24857.684026187377,20137.07982170055,6000.000000000002,5997.3824883458055,0.9333122074895722,0.9506461449164609,0.9584803909870647
2025-02-05,92566.5007761111,91315.33913265125,0.0,1251.161643459855,275.4940387655911,58473.482652535495,0.0,492.4062025463912,1293.5796470635853,59274.656097052684,24275.88439023782,19661.11059560386,5997.3824883458055,6000.000000000001,0.9671176484426519,0.9653447902762321,0.9699813620351202
2025-02-06,98903.24690944444,91054.60687465945,0.0,7848.640034784987,184.10876749796972,63188.87337356999,0.0,2971.4861086896653,717.4009754462797,60934.78824032661,24836.210500257228,20117.330505208356,6000.000000000001,6000.000000000002,0.9533808002645863,0.9626935035887956,0.9694405923710078
2025-02-07,49521.37108667867,43813.57888138315,0.0,5707.7922052955155,148.05324125663776,25833.905818525436,0.0,1545.2713862317237,798.1974958702211,25086.83192816393,20839.519198344275,16883.41292735395,6000.000000000002,5996.219581449909,0.9338920105282906,0.9381827456370504,0.9421074064439395
2025-02-08,38631.45379043896,38962.77362573767,331.3198352987137,0.0,590.2234648793774,19886.286703792535,421.21791651542395,0.0,2360.752356277081,22668.25697658504,19485.24728793483,15779.647926532129,5996.219581449909,6000.000000000001,0.9843192605659952,0.9862556455502578,0.9933925853325111
2025-02-09,90587.45013986969,90238.4870547548,47.46580303832786,396.4288881532059,169.50963810385917,57084.17625798727,63.19254415159408,128.25968774991836,683.2404401839394,57702.34955457288,24426.362184611884,19785.353369535627,6000.000000000001,6000.000000000001,0.9913503893619321,1.0010940563788862,0.9981480630055592
2025-02-10,87313.36602833333,84083.28996705182,0.0,3230.0760612815056,395.40019368694374,54742.13089949788,0.0,1083.2451969076967,1188.6356586800657,54847.52136127026,24326.578641811186,19701.96937744703,6000.000000000001,6002.843691577811,0.9903928233815397,0.986461085690197,0.9881093867435238
2025-02-11,87207.87679444444,83414.80904958908,0.0,3793.0677448553647,423.1697537110214,54889.91602918333,0.0,1455.882974170545,1937.936094172121,55371.96914918491,23754.074283337894,19243.359491923726,6002.843691577811,6000.000000000001,0.9936077713900724,0.9981321474467036,0.9972255436179717
2025-02-12,87788.45735722221,83107.58635732111,0.0,4680.870999901103,446.6723376669145,55116.752933501106,0.0,1645.905730276655,2005.1224287183843,55475.96963194284,23573.936443239785,19094.88851902423,6000.000000000001,6000.000000000003,0.9753928367709183,0.9877885601123155,0.9922674986431457
2025-02-13,82410.60859277777,81225.47069068879,179.42879264153947,1364.5666947305203,368.1443418710335,51029.29252233689,232.87517537348515,391.99583567999616,1515.058515164507,52385.23037719488,23133.543230523846,18738.170016724318,6000.000000000003,5999.999999999998,1.00245488513116,0.9961333975949238,0.99051262121954
2025-02-14,40132.29299894032,40119.458989288374,650.8301203994905,663.6641300514359,380.9804874051198,20535.34476378613,871.2078607614528,141.2727214157331,1409.177103076585,22674.457006208435,19044.356167385744,15425.928495582455,5999.999999999998,6000.000000000004,0.9956509167262064,0.9997230326284864,0.9972879534283546
2025-02-15,40715.92890025377,40111.416952710686,107.33183856848376,711.8437861115708,568.0816491702683,21111.633775109036,171.8312721462101,185.01114071921808,2031.8900537295974,23130.34396026562,18971.21484099898,15366.684021209177,6000.000000000004,5999.999999999999,1.0005660616218235,0.9974369129914668,0.9999837748269681
2025-02-16,88345.73906888888,82936.44752756305,0.32873393020008734,5409.620275256027,613.7083067671892,55347.260776045725,0.46193691871716275,1897.914237856653,2267.3372857282293,55717.14576083602,23165.709806046994,18764.224942898072,5999.999999999999,6000.000000000001,0.9985316693230379,0.9914944118896197,0.9967982556354475
2025-02-17,87708.4820510768,80153.05679320617,0.0,7555.425257870642,472.36317091714136,54357.81093972108,0.0,2420.22561595302,1807.9058601907302,53745.49118395879,22416.108021748547,18158.752372968276,6000.000000000001,5998.105694053392,0.9933413879316983,0.99154471070959,0.9936597282469862
2025-02-18,78440.47327460904,80325.54831099129,1885.0750363822415,0.0,721.4768542514234,48649.47951233085,1720.140188575645,0.0,2820.82383707001,53190.443537976505,23508.107837305244,19039.862472865305,5998.105694053392,6000.0,1.002082726001536,0.9948863022862174,1.0006664500021103
2025-02-19,78827.3213377321,79789.89869597438,962.5773582422937,0.0,805.3637396138782,48978.59428632501,1034.49944908942,0.0,2478.873425722169,52491.96716113659,23827.566515631846,19300.3288776618,6000.0,6000.000000000002,1.0071328909927117,1.0038242265285842,1.001553886625127
2025-02-20,81944.91831833334,79746.28672302201,144.35924331283945,2342.9908386241614,531.7309387796084,50490.57316352289,200.12293789389477,705.2955080600357,2177.835008010554,52163.2356013673,22690.535886084712,18379.689998589456,6000.000000000002,5999.604521265735,0.985866719445293,0.9961007480649375,0.9976710606297793
2025-02-21,36543.87829048868,36782.454817404425,238.5765269157438,0.0,430.90725306184663,18786.754920520398,364.0647030226299,0.0,1418.924556888667,20569.74418043169,19163.42123970439,15522.087675992756,5999.604521265735,5999.919552563291,0.9971838227750572,0.9967786682165661,0.9984298291965271
2025-02-22,37353.956633237314,36780.11390189938,179.28472419438893,753.127455532324,385.7335711768909,19502.510096146732,274.4046227164412,209.51031367033497,1315.6445257850673,20883.048930977904,18275.29094116208,14802.913259648243,5999.919552563291,6000.000000000001,1.0018005236737435,1.0014424445181962,0.997439112716938
2025-02-23,81188.39782346186,79508.29307122549,363.93967591704524,2044.0444281534103,671.1328582296034,50140.580111810494,446.54002029203974,739.4492508702303,2339.012663231242,52186.68354446355,23594.79290278736,19111.782251257762,6000.000000000001,6000.000000000002,0.9967645683551223,1.0003795433990224,0.9973115594906079
2025-02-24,77928.35809498628,77824.52164697328,0.0,103.83644801299442,443.6595979052454,48434.350574038865,0.0,34.33021670970344,1930.8053498765341,50330.825707205695,22567.2707326778,18279.48929346902,6000.000000000002,6000.000000000003,0.978841009940445,0.9950610280513702,0.9975903741451044
2025-02-25,80525.55967738558,76058.80907929078,21.56375590869743,4488.314354003514,399.2005976420022,49784.01895891923,30.613023206433507,1566.2327770671143,1418.1670571243546,49666.5662621829,22284.806779436927,18050.693491343915,6000.000000000003,5999.999999999999,0.9943596383059328,1.0014295754891531,0.9951754056390562
2025-02-26,74129.1942091358,76471.76333711394,2342.5691279781386,0.0,638.2542110272511,45323.76108945161,2269.6110302102393,0.0,2357.8535027885405,49951.22562245039,22942.406129756928,18583.348965103112,5999.999999999999,6000.000000000002,0.9925426996989886,0.9965218850432828,0.9961263848651406
2025-02-27,74789.6848103978,74839.34978372307,347.1156650102446,297.4506916849725,598.0113982450092,45924.62404398977,355.4069853426026,70.66424069253918,2600.7813642360697,48810.1481528759,23137.990584820538,18741.77237370464,6000.000000000002,6000.000000000004,0.9829355985653466,0.9889565035865546,0.9952064423819277
2025-02-28,35158.828321810695,35379.307115619384,220.4787938086853,0.0,407.8194181081586,18183.931254515308,285.2081644952518,0.0,1598.8261916364465,20067.965610647007,17715.237487881102,14349.34236518369,6000.000000000004,6000.000000000003,0.9886796844089696,0.9941008540407956,0.9925002193106928
2025-03-01,41399.14034067901,38848.293121054216,0.0,2550.847219624797,345.7585987795621,21168.693499806377,0.0,719.2385785563873,1546.9858742279494,21996.44079547794,17894.756843109175,14494.753042918432,6000.000000000003,6000.000000000002,0.9265829955387808,0.9269593731843201,0.9411304647763937
2025-03-02,83895.43802131001,82255.26747204554,68.532570472795,1708.7031197372594,474.09371156879376,52013.05828387124,81.88256051038218,655.1689685338671,2280.50894513867,53720.28082098643,24609.8077300893,19935.60142025447,6000.000000000002,5998.158712353185,0.9528800726259044,0.9496768797196007,0.9659777930140003
2025-03-03,85942.61748774348,80659.01807418485,35.533181853837505,5319.132595412462,757.675396835513,53384.42458990743,41.50485147355308,1715.1354114287117,3249.654705225522,54960.44873517779,23449.30071713313,18992.276421995706,5998.158712353185,6000.000000000004,0.9678682793957922,0.9579293471028482,0.9709551345787683
2025-03-04,77170.42250482853,77418.08480380826,265.09512683470825,17.43282785497263,1103.497059536952,47624.62474421088,343.12815554594215,4.842010700808385,3849.2038510644893,51812.11474012051,22819.68627936324,18483.94588628423,6000.000000000004,6000.000000000001,0.9695707692068656,0.9561153820760901,0.9692490002020578
2025-03-05,81125.52021344972,75436.12496421518,0.0,5689.3952492345325,739.8568708089188,49992.093195192174,0.0,1964.5816040293405,2991.4703093699286,51018.98190053276,22810.841900191495,18476.78193915511,6000.000000000001,6000.000000000001,0.956345872528061,0.9530188647148381,0.9681443522618517
2025-03-06,75869.25614408436,75370.931942878,0.0,498.3242012063604,348.82647064154287,46591.86324823088,0.0,180.86129989674492,1203.0259626404493,47614.02791097459,23398.060151581794,18952.42872278125,6000.000000000001,6000.000000000004,0.9704452885906821,0.9546619013085429,0.9691437029245747
2025-03-07,36849.83720104252,34903.9616279459,0.0,1945.8755730966186,550.8005601373197,19328.361972566323,0.0,698.826129213161,2166.9229283359964,20796.45877168916,17080.962232082806,13833.901519930274,6000.000000000004,6001.864320063117,0.9305276897093716,0.9130033828697247,0.9389450836977239
2025-03-08,32765.514403408775,33062.98571849819,297.4713150894122,0.0,339.12758551264716,17156.73231089501,427.3908246226798,0.0,1025.4424271479224,18609.56556266561,16352.153941186556,13246.922580417915,6001.864320063117,6000.000000000001,1.0126259187052102,1.0001932541108411,1.0039053983828339
2025-03-09,77116.98776740054,73069.00954289234,48.079074442857404,4096.057298951064,458.48686942279767,47116.15330414007,69.17685540036608,1194.4478676728238,1647.4828970715837,47638.36518893919,23419.98672081262,18970.189243858225,6000.000000000001,6000.0,0.9990461133473585,0.9991933129285011,0.9986436035565727
2025-03-10,74220.55014132777,76292.8537916689,2078.1250353698247,5.821385028708164,754.2125058986503,44982.962154727575,2284.799521349557,1.6538554866559896,2582.9805729648597,49849.088393555336,23598.81228178706,19115.03794824752,6000.0,6000.000000000001,1.0074503989786048,1.001807630680451,0.9995433693719317
2025-03-11,66752.67647983025,71471.01296479326,4718.336484963017,0.0,801.120285023875,40676.90978604036,3810.8577419647813,0.0,3302.90396184795,47790.6714898531,22135.749022555698,17929.95670827011,6000.000000000001,6000.000000000002,0.9845704641224161,0.9960404851871393,0.9961989813457213
2025-03-12,75569.79607282612,72770.51012127155,0.4098681165559128,2799.6958196711257,370.0536962428372,46251.71261659268,0.7516571389518885,867.1765361706824,1111.8327770820308,46497.12051464298,22322.34670513304,18081.100831157764,6000.000000000002,6000.000000000002,1.0019626912278765,0.9995478864851648,0.9985902555921333
2025-03-13,75575.77310840535,76800.66696860491,1241.7962519100518,16.902391710480515,448.4016753684919,45889.00028278892,1360.1020098056924,3.8928249659585497,2039.8197218823566,49285.029189511006,22920.60465784749,18565.689772856473,6000.000000000002,6000.000000000002,0.9979790536427833,1.004304670128548,1.0029894980529903
2025-03-14,31831.530111872427,32640.16221577358,808.632103901151,0.0,287.1568798039651,16446.45100580651,1173.2709061238077,0.0,785.3196813983659,18405.041593328686,16015.453004154802,12972.516933365394,6000.000000000002,6000.000000000003,1.0096545116193525,1.0071185650205403,1.0097324713829474
2025-03-15,32117.426235342933,32787.12491529351,669.6986799505779,0.0,292.7770318450799,16456.961033366053,958.0716892949893,0.0,1035.7354216323502,18450.768144293394,15893.373937870496,12873.632889675104,6000.000000000003,6000.000000000002,0.9980726531371517,0.993376418295736,0.9974549377152009
2025-03-16,73239.44638658436,73530.65795040176,1136.5477844788597,845.3362206614631,338.85635848031956,44851.061389553375,1106.0105199111415,308.00655052919865,1168.344656541827,46817.410015477144,22804.161384187384,18471.370721191783,6000.000000000002,6000.000000000001,1.0016720689091652,1.0022179829054585,1.00412388701683
2025-03-17,69154.03076543903,66468.36495461526,490.67923535379657,3176.3450461775733,671.5880519700823,41283.78475463266,630.1815736705126,770.6979336657992,3019.1918660383776,44162.46026067575,21525.49995988605,17435.654967507704,6000.000000000001,6000.0,0.9868757010268306,0.996839004184048,1.0007228898998741
2025-03-18,77164.15915444444,72046.72119348217,0.0,5117.437960962264,299.92746979617937,47275.6673006061,0.0,1683.659872503205,955.6365584490075,46547.643986551906,22383.09696664667,18130.308542983803,6000.0,6000.000000000001,0.9901980659765997,0.9925429701666865,0.9963168960600066
2025-03-19,64984.97075033607,67406.10076800734,2421.1300176712625,0.0,965.2439611295573,39601.66893795511,2180.505434175829,0.0,3292.277317763,45074.45168989394,21984.581804369845,17807.511261539577,6000.000000000001,6000.000000000002,0.989816507337414,0.9897706736740091,0.9956345906205432
2025-03-20,73215.37709133401,70558.43997600254,519.9986232470012,3176.935738578468,725.3573913234962,44841.60916116934,624.3807631266628,1122.6092227593085,2859.3504889192077,47202.731190455896,22026.61379418392,17841.557173288977,6000.000000000002,6000.000000000002,1.0018971423910599,0.9971309549012798,0.9961283655977977
2025-03-21,31066.674019027778,31227.74943991522,265.0151183656818,103.93969747824043,424.9692791381701,16093.161675620362,402.4956337173848,42.35299437159306,1095.1891954075818,17548.493510373737,16000.000000000004,12960.000000000004,6000.000000000002,6000.0,1.0122063141608617,1.0090101363934534,1.0025600770422156
2025-03-22,32823.89645111111,33264.6895653179,440.7931142067901,0.0,360.1459298239451,17245.025769992444,321.02700231010965,0.0,884.6003488721295,18450.653121174684,15723.884845904406,12736.346725182566,6000.0,6000.0,0.9884630763952201,0.9970724537601591,0.9942015509273331
2025-03-23,74426.42271369684,71760.38312234063,0.0,2666.039591356203,329.36718561351904,45227.537716341816,0.0,928.8563925522996,1328.7249229462905,45627.40624673581,22350.827425335923,18104.170214522102,6000.0,5999.999999999999,1.002378828526574,0.9978165221287835,0.9963520167118795
2025-03-24,70019.78664178327,68839.64419486593,536.1772590616577,1716.3197059789934,349.7824816400356,42254.958223329886,660.2987654471804,485.7577315469783,914.9809559968857,43344.480213226976,22200.807942292013,17982.65443325653,5999.999999999999,6000.000000000001,0.9968820642458595,0.9977125777185478,0.9966629901397398
2025-03-25,76733.84000556926,71052.25710360306,104.28615079750807,5785.869052763712,491.598145522942,46724.66088351462,177.94421516090645,1862.779837382262,1462.1865310774099,46502.01179237067,22303.469544229654,18065.810330826018,6000.000000000001,6000.000000000002,1.0105698776739946,1.0089675543640917,1.0058110171243533
2025-03-26,67414.52431928326,65978.19071489395,670.2569581068879,2106.590562496199,300.1146108018952,40726.545533123404,805.8300208195217,680.8233444733033,853.1377301466736,41704.68993961629,21748.51682052444,17616.2986246248,6000.000000000002,6000.0,1.0030080971169064,1.0034772221247508,1.0026551960253538
2025-03-27,70431.71072649519,67979.10855007415,47.8243309681726,2500.4265073892175,519.5909898824159,42881.9604808751,77.05676025736355,860.817214977259,1786.8688102692422,43885.06883642445,21478.200461109373,17397.34237349859,6000.0,6000.0,1.002175416751976,1.003946562612224,1.0027714638177985
2025-03-28,32186.67985302469,32265.21206042234,78.53220739764991,0.0,203.18046111933793,16417.2469831729,119.41134774351053,0.0,678.3361064808173,17214.994437397225,15522.310516514204,12573.859722590843,6000.0,5999.124217539628,0.9891328327582184,0.9983962922269185,0.9910425545880374
2025-03-29,30387.836155555557,31072.982386318075,685.1462307625205,0.0,206.18359749507366,15267.955435580834,981.6542618759089,0.0,809.1252498387781,17058.73494729552,15758.444787819726,12763.552073919644,5999.124217539628,6000.0,1.0015033358914052,0.9997963850438529,1.0010794560687248
2025-03-30,69866.190359369,64695.02953356704,9.068893115226615,5180.229718917187,520.6935634329498,41947.72034402898,13.620662158487736,1422.9119987908184,2074.6897031330677,42613.118710529714,21541.338379822613,17448.484087656318,6000.0,6000.000000000002,1.0015716342092174,1.0067835912847567,1.003570451632395
2025-03-31,62488.96849681756,64822.05913665235,2333.0906398347965,0.0,588.8326909953535,37459.02975904425,1863.7962997361171,0.0,2218.9334082081323,41541.7594669885,21598.994911595397,17495.185878392273,6000.000000000002,6000.0,1.0047003308287603,0.9978051391070212,0.9985089478661522
2025-04-01,74523.72750194102,72237.85279370582,176.7565454137785,2462.6312536489627,501.9456460573921,44466.63914356154,207.79473597210745,657.2327431190514,1633.9419322440008,45651.143068658595,21506.925693607678,17420.609811822225,6000.0,6000.0,1.0200137803629117,0.9978026402862468,1.0011657939295482
2025-04-02,70857.566285,70725.56908525877,182.70885218375062,314.7060519249694,441.5450701372962,42525.24439362183,192.824608902544,86.92501605062509,1717.9300842986863,44349.07407077243,21541.8864272871,17448.92800610255,6000.0,6000.000000000004,1.0180742187712217,1.005368192667609,1.0025009272450789
2025-04-03,71929.51019788408,67845.33923054735,0.0,4084.1709673367227,303.41814000271,43783.45389551882,0.0,1401.973016812194,943.0056622254115,43324.486540932034,21999.561300946123,17819.64465376636,6000.000000000004,6000.0,1.0051957209289106,0.9967710530324373,0.9995452219106553
2025-04-04,29871.087466944446,29871.259876317126,0.17240937268113044,0.0,380.7739495881134,14973.845147827446,0.22734761928597264,0.0,1632.8449797878861,16606.91747523462,15739.780089983715,12751.273323880061,6000.0,5997.720610007503,0.999318637490608,0.9920594937082073,0.9978953749866759
2025-04-05,29615.607269305558,29706.31239414515,90.70512483959294,0.0,1095.7950091161524,14857.498000416766,155.11127508054727,0.0,4432.323124620102,19444.932400117417,16008.439399187178,12964.784462348367,5997.720610007503,5999.999999999998,1.0075415665376173,0.9942092168985945,1.0077690001678503
2025-04-06,68593.98954632551,65387.58147439344,333.398135818695,3539.80620775077,272.43969338093905,40516.31769662136,453.2986502524084,955.5776772839699,1194.0298120322275,41208.068481622024,21696.380919234824,17574.068544580205,5999.999999999998,6000.000000000003,0.9949646853475173,0.9915458398985695,0.9917322461852324
2025-04-07,61431.017868055555,61903.898886741845,1178.3948613363964,705.5138426501051,456.2014329357577,36213.34609116452,1329.8935040040817,159.6586500989265,1608.2288209856947,38991.80976605537,20370.149140697766,16499.82080396519,6000.000000000003,6000.000000000002,1.004852891939953,1.000965648897503,0.9974767393381528
2025-04-08,69912.61204568586,64476.75604150297,0.0,5435.856004182889,476.4109252812479,42056.13481087445,0.0,1701.802992246058,2295.819003846367,42650.15082247476,21448.408075393294,17373.21054106857,6000.000000000002,6000.0,0.9789711137208142,0.9920748531618921,0.9942322611489558
2025-04-09,68451.21639700102,68097.39414227569,93.63741148582426,447.4596662111573,504.7236113013063,40882.62839486151,62.25015115577596,173.37954054115085,1924.1069650330958,42695.605970509234,21944.630796427366,17775.150945106165,6000.0,6000.000000000002,0.9836828122666861,0.9909407841992162,0.9953748686613867
2025-04-10,66596.39828848938,64559.456455113126,41.48303854279476,2078.4248719190377,416.85485543235734,40214.72592346163,27.577924023249953,781.6351875432572,1806.5046710173478,41267.17333095897,20953.20964111488,16972.09980930305,6000.000000000002,6000.0000000000055,0.9944972090512597,1.0020690036400504,0.998452171580111
2025-04-11,28314.163954722226,28394.02381877597,79.8598640537468,0.0,711.6461347245657,14000.33835616803,110.30125066275261,0.0,2895.293358771079,17005.93296560186,16001.64057606356,12961.32886661148,6000.0000000000055,6000.000000000004,1.0091729768635318,1.0063664362430313,1.0035386283191572
2025-04-12,30167.026344027778,29614.27964222899,0.0,552.7467017987866,128.46209963664808,15424.694152102207,0.0,241.35416531172942,424.75146073555726,15608.091447526034,15709.78435872284,12724.925330565498,6000.000000000004,6000.000000000002,0.9857896746399029,0.9935754709977991,0.9922914931894721
2025-04-13,63871.30602280864,63032.161350355105,30.10157119040605,869.2462436439417,484.13728576878907,37792.19847584817,32.041777216686974,201.60409427983902,2088.573389361821,39711.20954814684,21157.04118585835,17137.20336054526,6000.000000000002,6000.0,0.9913974983819935,0.9953712550033634,1.001696881100782
