date,time_block,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
2025-03-20,0:00-4:00,4500.0,0.0,6000.000000000002,6000.000000000002
2025-03-20,4:00-8:00,833.3333333333333,5476.9872465316685,6000.000000000002,6000.000000000002
2025-03-20,8:00-12:00,4688.163430858222,3163.012753468333,6000.000000000002,6000.000000000002
2025-03-20,12:00-16:00,6668.947207584184,559.2596171383497,6000.000000000002,6000.000000000002
2025-03-20,16:00-20:00,2.836489074846554,4930.341185678426,6000.000000000002,6000.000000000002
2025-03-20,20:00-24:00,5333.333333333333,3711.9563704721995,6000.000000000002,6000.000000000002
2025-06-21,0:00-4:00,0.0,0.0,6000.0,5999.999999999999
2025-06-21,4:00-8:00,0.0,4060.900991054053,6000.0,5999.999999999999
2025-06-21,8:00-12:00,3077.3740477676533,0.0,6000.0,5999.999999999999
2025-06-21,12:00-16:00,7269.417299212658,52.80678311429707,6000.0,5999.999999999999
2025-06-21,16:00-20:00,67.03247179698285,5116.870338237253,6000.0,5999.999999999999
2025-06-21,20:00-24:00,5333.333333333333,3524.6191808040057,6000.0,5999.999999999999
2025-09-23,0:00-4:00,4500.0,0.0,6000.000000000001,5998.306518530251
2025-09-23,4:00-8:00,844.6888934040751,5251.913348018058,6000.000000000001,5998.306518530251
2025-09-23,8:00-12:00,5072.150992945218,3397.2846556392433,6000.000000000001,5998.306518530251
2025-09-23,12:00-16:00,6127.737852963719,431.90996518623905,6000.000000000001,5998.306518530251
2025-09-23,16:00-20:00,14.456030115608996,4927.819694034316,6000.000000000001,5998.306518530251
2025-09-23,20:00-24:00,5331.960208783813,3724.3015927969886,6000.000000000001,5998.306518530251
2025-12-21,0:00-4:00,4500.0,0.0,6000.000000000002,6000.000000000002
2025-12-21,4:00-8:00,1678.8304213280026,690.8445118317348,6000.000000000002,6000.000000000002
2025-12-21,8:00-12:00,5000.0,8293.66914645103,6000.000000000002,6000.000000000002
2025-12-21,12:00-16:00,8774.299638608656,2858.086061765745,6000.000000000002,6000.000000000002
2025-12-21,16:00-20:00,12.292222731959278,4820.425204356213,6000.000000000002,6000.000000000002
2025-12-21,20:00-24:00,5333.333333333333,3828.967124556858,6000.000000000002,6000.000000000002
